goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=16/msg=1232        	   18763	     63943 ns/op	         3.996 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=1232        	    4788	    250684 ns/op	         3.917 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=1232        	    4788	    250726 ns/op	         3.918 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=1232        	    4784	    250807 ns/op	         3.919 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=1232        	    4782	    250846 ns/op	         3.919 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=1232        	    4783	    250937 ns/op	         3.921 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=1232        	    4783	    250870 ns/op	         3.920 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=1232        	    4798	    249927 ns/op	         3.905 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=1232        	    4800	    249842 ns/op	         3.904 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=1232        	    4802	    249940 ns/op	         3.905 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=1232        	    4801	    249863 ns/op	         3.904 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=1232        	    4801	    249859 ns/op	         3.904 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=64/msg=1232        	    4798	    249923 ns/op	         3.905 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=16/msg=4096        	   15804	     75948 ns/op	         4.747 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=16/msg=4096        	   15794	     75963 ns/op	         4.748 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=16/msg=4096        	   15843	     75729 ns/op	         4.733 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=16/msg=4096        	   15850	     75673 ns/op	         4.730 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=16/msg=4096        	   15848	     75684 ns/op	         4.730 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=16/msg=4096        	   15850	     75689 ns/op	         4.731 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=16/msg=4096        	   15846	     75736 ns/op	         4.733 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=16/msg=4096        	   15841	     75720 ns/op	         4.732 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=16/msg=4096        	   15898	     75479 ns/op	         4.717 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=16/msg=4096        	   15850	     75685 ns/op	         4.730 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=16/msg=4096        	   15884	     75486 ns/op	         4.718 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x8-encode/n=16/msg=4096        	   15890	     75516 ns/op	         4.720 µs/sig	       0 B/op	       0 allocs/op
BenchmarkR51IFMAX8BatchEncodeCompletePipeline/path=x4-encode/n=64/msg=4096        	    4030	    297777 ns/op	         4.653 µs/sig	       0 B/op	       0 allocs/op
