goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   37171	     32274 ns/op	 152.69 MB/s	         0 internal-fault-fallbacks	    123940 signatures/s	         8.068 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   37191	     32266 ns/op	 152.73 MB/s	         0 internal-fault-fallbacks	    123970 signatures/s	         8.066 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=4        	   37179	     32274 ns/op	 152.69 MB/s	         0 internal-fault-fallbacks	    123938 signatures/s	         8.069 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   37522	     32004 ns/op	 307.96 MB/s	         0 internal-fault-fallbacks	    249967 signatures/s	         4.001 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   37498	     32001 ns/op	 307.99 MB/s	         0 internal-fault-fallbacks	    249991 signatures/s	         4.000 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   37496	     31986 ns/op	 308.14 MB/s	         0 internal-fault-fallbacks	    250112 signatures/s	         3.998 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=8        	   37503	     31985 ns/op	 308.14 MB/s	         0 internal-fault-fallbacks	    250117 signatures/s	         3.998 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	    4974	    241175 ns/op	 326.93 MB/s	         0 internal-fault-fallbacks	    265368 signatures/s	         3.768 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	    4971	    241198 ns/op	 326.90 MB/s	         0 internal-fault-fallbacks	    265342 signatures/s	         3.769 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	    4969	    241251 ns/op	 326.83 MB/s	         0 internal-fault-fallbacks	    265284 signatures/s	         3.770 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	    4968	    241427 ns/op	 326.59 MB/s	         0 internal-fault-fallbacks	    265091 signatures/s	         3.772 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   72849	     16414 ns/op	 249.54 MB/s	         0 internal-fault-fallbacks	     60922 signatures/s	        16.41 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   73106	     16413 ns/op	 249.56 MB/s	         0 internal-fault-fallbacks	     60927 signatures/s	        16.41 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   73185	     16400 ns/op	 249.76 MB/s	         0 internal-fault-fallbacks	     60975 signatures/s	        16.40 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   73123	     16401 ns/op	 249.74 MB/s	         0 internal-fault-fallbacks	     60971 signatures/s	        16.40 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   36636	     32735 ns/op	 250.26 MB/s	         0 internal-fault-fallbacks	     61097 signatures/s	        16.37 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   36637	     32764 ns/op	 250.03 MB/s	         0 internal-fault-fallbacks	     61043 signatures/s	        16.38 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   36644	     32743 ns/op	 250.19 MB/s	         0 internal-fault-fallbacks	     61081 signatures/s	        16.37 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   36636	     32750 ns/op	 250.14 MB/s	         0 internal-fault-fallbacks	     61069 signatures/s	        16.38 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   31852	     37686 ns/op	 434.75 MB/s	         0 internal-fault-fallbacks	    106141 signatures/s	         9.421 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   31844	     37676 ns/op	 434.87 MB/s	         0 internal-fault-fallbacks	    106168 signatures/s	         9.419 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   31836	     37695 ns/op	 434.65 MB/s	         0 internal-fault-fallbacks	    106115 signatures/s	         9.424 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   31825	     37699 ns/op	 434.60 MB/s	         0 internal-fault-fallbacks	    106104 signatures/s	         9.425 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   31641	     37933 ns/op	 863.84 MB/s	         0 internal-fault-fallbacks	    210899 signatures/s	         4.742 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   31656	     37912 ns/op	 864.32 MB/s	         0 internal-fault-fallbacks	    211017 signatures/s	         4.739 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   31644	     37921 ns/op	 864.10 MB/s	         0 internal-fault-fallbacks	    210963 signatures/s	         4.740 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   31670	     37902 ns/op	 864.54 MB/s	         0 internal-fault-fallbacks	    211071 signatures/s	         4.738 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    4159	    288329 ns/op	 909.18 MB/s	         0 internal-fault-fallbacks	    221969 signatures/s	         4.505 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    4154	    288742 ns/op	 907.88 MB/s	         0 internal-fault-fallbacks	    221652 signatures/s	         4.512 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    4155	    288821 ns/op	 907.63 MB/s	         0 internal-fault-fallbacks	    221590 signatures/s	         4.513 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    4152	    288854 ns/op	 907.53 MB/s	         0 internal-fault-fallbacks	    221565 signatures/s	         4.513 us/signature	       0 B/op	       0 allocs/op
PASS
