goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=8/msg=1232                    	   76647	     31296 ns/op	         3.912 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=8/msg=1232                    	   76758	     31277 ns/op	         3.910 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=8/msg=1232                    	   76765	     31253 ns/op	         3.907 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=64/msg=1232       	    9492	    252736 ns/op	         3.949 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=64/msg=1232       	    9426	    254320 ns/op	         3.974 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=64/msg=1232       	    9428	    254355 ns/op	         3.974 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=64/msg=1232       	    9435	    254381 ns/op	         3.975 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=64/msg=1232       	    9428	    254324 ns/op	         3.974 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=64/msg=1232       	    9435	    254368 ns/op	         3.975 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=64/msg=1232                   	   10000	    236589 ns/op	         3.697 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=64/msg=1232                   	   10000	    236323 ns/op	         3.693 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=64/msg=1232                   	   10000	    236325 ns/op	         3.693 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=64/msg=1232                   	   10000	    236584 ns/op	         3.697 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=64/msg=1232                   	   10000	    236263 ns/op	         3.692 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=merged-B10/n=64/msg=1232                   	   10000	    237437 ns/op	         3.710 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=8/msg=4096        	   61131	     39239 ns/op	         4.905 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=8/msg=4096        	   61104	     39263 ns/op	         4.908 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=8/msg=4096        	   61129	     39255 ns/op	         4.907 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=8/msg=4096        	   61131	     39263 ns/op	         4.908 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=8/msg=4096        	   61131	     39249 ns/op	         4.906 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAAsymmetricFixedBNielsX8Experiment/implementation=separate-radix256-comb/n=8/msg=4096        	   61136	     39254 ns/op	         4.907 us/signature	       0 B/op	       0 allocs/op
