# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cpu/cycles/P'
# Event count (approx.): 66165269909
#
# Overhead  Symbol                                                                                                                                               IPC   [IPC Coverage]
# ........  ...................................................................................................................................................  ....................
#
    26.05%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaPointFinalProductsUncheckedX8.abi0                                               -      -            
    15.04%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaFourRawProductsDoubleStage2UncheckedX8.abi0                                      -      -            
     7.76%  [.] nativeCompressX8RollingRounds                                                                                                                    -      -            
     5.79%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaDoubleStage2X8.abi0                                                              -      -            
     5.18%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaRepeatedSquareNormalizedX4.abi0                                                  -      -            
     4.75%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaRepeatedSquareNormalizedX8.abi0                                                  -      -            
     4.70%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaFourRawProductsNielsStage2UncheckedX8.abi0                                       -      -            
     2.94%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.RecodeCanonicalScalarsX8                                                             -      -            
     2.07%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaNielsStage2X8.abi0                                                               -      -            
     1.90%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaThreeRawProductsNielsStage2UncheckedX8.abi0                                      -      -            
     1.85%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.selectIFMAProjectiveNielsPreSignedMicroAoSX8                                         -      -            
     1.46%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.(*IFMAElementX8).Reduced                                                             -      -            
     1.40%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.reduceUniformScalar                                                                  -      -            
     1.23%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.(*ExperimentalIFMAProjectiveNielsPreSignedMicroAoSVariableBaseWorkspaceX8).Evaluate  -      -            
     1.16%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.recodeFixedBaseScalarsX8                                                             -      -            
     1.06%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.reduceAccumulators                                                                   -      -            
     0.90%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaPointDoubleComposableWorkspaceStaticX8                                           -      -            
     0.82%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaProjectiveNielsMicroAoSTransposeX8.abi0                                          -      -            
     0.72%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaAddNormalizedUncheckedX8.abi0                                                    -      -            
     0.72%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaMulNormalizedUncheckedX8.abi0                                                    -      -            
     0.66%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.selectFixedBaseIFMACachedUncheckedX8                                                 -      -            
     0.65%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaSubtractNormalizedUncheckedX8.abi0                                               -      -            
     0.63%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaProjectiveNielsPreSignedMicroAoSStoreTransposeX8.abi0                            -      -            
     0.61%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaPointAddProjectiveNielsWorkspaceX8                                               -      -            
     0.57%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.sqrtRatioIFMAX8                                                                      -      -            
     0.56%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.(*ElementX8).Negate                                                                  -      -            
     0.53%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ExperimentalIFMAFixedBaseCombScalarMultX8                                            -      -            
     0.53%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.decodeIFMAX8                                                                         -      -            
     0.51%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaAffine3MicroAoSTransposeSelectExperimentX8.abi0                                  -      -            
     0.48%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaMulNormalizedUncheckedX4.abi0                                                    -      -            
     0.43%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.checkIFMAComposablePointsX8                                                          -      -            
