# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cpu/cycles/P'
# Event count (approx.): 66165269909
#
# Overhead  Symbol                                                                                                                                               IPC   [IPC Coverage]
# ........  ...................................................................................................................................................  ....................
#
     0.41%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.(*IFMAElementX4).Reduced                                                             -      -            
     0.41%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.batchEncodeIFMAX4                                                                    -      -            
     0.40%  [.] github.com/Overclock-Validator/narya-ed25519/ed25519.(*r51IFMABatchQPipeline).evaluateX8Group                                                    -      -            
     0.39%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.batchInvertPointZX4                                                                  -      -            
     0.37%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.encodeAffineIFMAX4                                                                   -      -            
     0.37%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.decodeOneIFMAX8                                                                      -      -            
     0.34%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.(*ExperimentalIFMAProjectiveNielsPreSignedMicroAoSVariableBaseWorkspaceX8).Prepare   -      -            
     0.26%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.ifmaProjectiveNielsFromPointX8                                                       -      -            
     0.25%  [.] github.com/Overclock-Validator/narya-ed25519/sha512mb.sum512NativeFixed3X8                                                                       -      -            
     0.23%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.conditionalNegateX8                                                                  -      -            
     0.22%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.(*decode2IFMAOpsX8).validateOneImports                                               -      -            
     0.20%  [.] github.com/Overclock-Validator/narya-ed25519/internal/r51x5.addFixedBaseIFMACachedWorkspaceX8                                                    -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
