goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/internal/r51x5
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=dense-affine-B9                         	  106828	     22466 ns/op	      5616 ns/signature	       0 B/op	       0 allocs/op
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=dense-affine-B9                         	  106890	     22454 ns/op	      5614 ns/signature	       0 B/op	       0 allocs/op
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=dense-affine-B9                         	  106806	     22462 ns/op	      5616 ns/signature	       0 B/op	       0 allocs/op
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=dense-affine-B9                         	  106768	     22469 ns/op	      5617 ns/signature	       0 B/op	       0 allocs/op
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=dense-affine-B9                         	  106741	     22465 ns/op	      5616 ns/signature	       0 B/op	       0 allocs/op
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=dense-affine-B9                         	  106831	     22457 ns/op	      5614 ns/signature	       0 B/op	       0 allocs/op
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=shared-affine-B10                       	  106488	     22694 ns/op	      5673 ns/signature	       0 B/op	       0 allocs/op
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=shared-affine-B10                       	  105661	     22701 ns/op	      5675 ns/signature	       0 B/op	       0 allocs/op
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=shared-affine-B10                       	  105757	     22708 ns/op	      5677 ns/signature	       0 B/op	       0 allocs/op
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=shared-affine-B10                       	  105648	     22729 ns/op	      5682 ns/signature	       0 B/op	       0 allocs/op
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=shared-affine-B10                       	  105637	     22708 ns/op	      5677 ns/signature	       0 B/op	       0 allocs/op
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=shared-affine-B10                       	  105836	     22704 ns/op	      5676 ns/signature	       0 B/op	       0 allocs/op
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=dense-affine-B10                        	  108254	     22165 ns/op	      5541 ns/signature	       0 B/op	       0 allocs/op
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=dense-affine-B10                        	  108262	     22170 ns/op	      5542 ns/signature	       0 B/op	       0 allocs/op
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=dense-affine-B10                        	  108294	     22150 ns/op	      5538 ns/signature	       0 B/op	       0 allocs/op
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=dense-affine-B10                        	  108241	     22163 ns/op	      5541 ns/signature	       0 B/op	       0 allocs/op
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=dense-affine-B10                        	  108272	     22158 ns/op	      5539 ns/signature	       0 B/op	       0 allocs/op
BenchmarkAsymmetricFixedBPreparedRadix64DSMX4/implementation=dense-affine-B10                        	  108314	     22157 ns/op	      5539 ns/signature	       0 B/op	       0 allocs/op
PASS
ok  	github.com/Overclock-Validator/narya-ed25519/internal/r51x5	142.303s
