goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	  267073	     13470 ns/op	  59.39 MB/s	         0 internal-fault-fallbacks	    296949 signatures/s	   1243136 table-bytes	         3.368 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	  267094	     13473 ns/op	  59.38 MB/s	         0 internal-fault-fallbacks	    296884 signatures/s	   1243136 table-bytes	         3.368 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	  266721	     13474 ns/op	  59.37 MB/s	         0 internal-fault-fallbacks	    296872 signatures/s	   1243136 table-bytes	         3.368 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	  267112	     13470 ns/op	  59.39 MB/s	         0 internal-fault-fallbacks	    296964 signatures/s	   1243136 table-bytes	         3.367 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	  267070	     13469 ns/op	  59.39 MB/s	         0 internal-fault-fallbacks	    296968 signatures/s	   1243136 table-bytes	         3.367 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	  266667	     13477 ns/op	  59.36 MB/s	         0 internal-fault-fallbacks	    296800 signatures/s	   1243136 table-bytes	         3.369 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	  267056	     13473 ns/op	  59.38 MB/s	         0 internal-fault-fallbacks	    296890 signatures/s	   1243136 table-bytes	         3.368 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	  143355	     25119 ns/op	  63.70 MB/s	         0 internal-fault-fallbacks	    318490 signatures/s	   1243136 table-bytes	         3.140 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	  143071	     25167 ns/op	  63.57 MB/s	         0 internal-fault-fallbacks	    317875 signatures/s	   1243136 table-bytes	         3.146 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	  143263	     25122 ns/op	  63.69 MB/s	         0 internal-fault-fallbacks	    318448 signatures/s	   1243136 table-bytes	         3.140 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	  143179	     25125 ns/op	  63.68 MB/s	         0 internal-fault-fallbacks	    318412 signatures/s	   1243136 table-bytes	         3.141 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	  143227	     25135 ns/op	  63.66 MB/s	         0 internal-fault-fallbacks	    318281 signatures/s	   1243136 table-bytes	         3.142 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	  143223	     25138 ns/op	  63.65 MB/s	         0 internal-fault-fallbacks	    318237 signatures/s	   1243136 table-bytes	         3.142 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	  143226	     25129 ns/op	  63.67 MB/s	         0 internal-fault-fallbacks	    318352 signatures/s	   1243136 table-bytes	         3.141 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	  143197	     25117 ns/op	  63.70 MB/s	         0 internal-fault-fallbacks	    318516 signatures/s	   1243136 table-bytes	         3.140 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	  143181	     25122 ns/op	  63.69 MB/s	         0 internal-fault-fallbacks	    318446 signatures/s	   1243136 table-bytes	         3.140 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	  143246	     25119 ns/op	  63.70 MB/s	         0 internal-fault-fallbacks	    318484 signatures/s	   1243136 table-bytes	         3.140 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	   18902	    190456 ns/op	  67.21 MB/s	         0 internal-fault-fallbacks	    336035 signatures/s	   1243136 table-bytes	         2.976 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	   18895	    190423 ns/op	  67.22 MB/s	         0 internal-fault-fallbacks	    336094 signatures/s	   1243136 table-bytes	         2.975 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	   18885	    190602 ns/op	  67.16 MB/s	         0 internal-fault-fallbacks	    335779 signatures/s	   1243136 table-bytes	         2.978 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	   18897	    190512 ns/op	  67.19 MB/s	         0 internal-fault-fallbacks	    335937 signatures/s	   1243136 table-bytes	         2.977 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	   18912	    190358 ns/op	  67.24 MB/s	         0 internal-fault-fallbacks	    336209 signatures/s	   1243136 table-bytes	         2.974 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	   18902	    190426 ns/op	  67.22 MB/s	         0 internal-fault-fallbacks	    336088 signatures/s	   1243136 table-bytes	         2.975 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	   18910	    190355 ns/op	  67.24 MB/s	         0 internal-fault-fallbacks	    336215 signatures/s	   1243136 table-bytes	         2.974 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	   18908	    190356 ns/op	  67.24 MB/s	         0 internal-fault-fallbacks	    336212 signatures/s	   1243136 table-bytes	         2.974 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	   18913	    190461 ns/op	  67.21 MB/s	         0 internal-fault-fallbacks	    336027 signatures/s	   1243136 table-bytes	         2.976 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	   18909	    190345 ns/op	  67.25 MB/s	         0 internal-fault-fallbacks	    336231 signatures/s	   1243136 table-bytes	         2.974 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	  240969	     14902 ns/op	  82.67 MB/s	         0 internal-fault-fallbacks	     67103 signatures/s	   1243136 table-bytes	        14.90 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	  241635	     14901 ns/op	  82.68 MB/s	         0 internal-fault-fallbacks	     67110 signatures/s	   1243136 table-bytes	        14.90 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	  241453	     14902 ns/op	  82.67 MB/s	         0 internal-fault-fallbacks	     67103 signatures/s	   1243136 table-bytes	        14.90 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	  241567	     14906 ns/op	  82.65 MB/s	         0 internal-fault-fallbacks	     67086 signatures/s	   1243136 table-bytes	        14.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	  241382	     14911 ns/op	  82.62 MB/s	         0 internal-fault-fallbacks	     67064 signatures/s	   1243136 table-bytes	        14.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	  241698	     14910 ns/op	  82.63 MB/s	         0 internal-fault-fallbacks	     67068 signatures/s	   1243136 table-bytes	        14.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	  241334	     14917 ns/op	  82.59 MB/s	         0 internal-fault-fallbacks	     67039 signatures/s	   1243136 table-bytes	        14.92 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	  241459	     14904 ns/op	  82.66 MB/s	         0 internal-fault-fallbacks	     67097 signatures/s	   1243136 table-bytes	        14.90 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	  241431	     14909 ns/op	  82.64 MB/s	         0 internal-fault-fallbacks	     67076 signatures/s	   1243136 table-bytes	        14.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	  241345	     14909 ns/op	  82.63 MB/s	         0 internal-fault-fallbacks	     67072 signatures/s	   1243136 table-bytes	        14.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	  120751	     29823 ns/op	  82.62 MB/s	         0 internal-fault-fallbacks	     67063 signatures/s	   1243136 table-bytes	        14.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	  120698	     29821 ns/op	  82.63 MB/s	         0 internal-fault-fallbacks	     67066 signatures/s	   1243136 table-bytes	        14.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	  120752	     29815 ns/op	  82.64 MB/s	         0 internal-fault-fallbacks	     67080 signatures/s	   1243136 table-bytes	        14.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	  120674	     29821 ns/op	  82.63 MB/s	         0 internal-fault-fallbacks	     67067 signatures/s	   1243136 table-bytes	        14.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	  120726	     29820 ns/op	  82.63 MB/s	         0 internal-fault-fallbacks	     67068 signatures/s	   1243136 table-bytes	        14.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	  120772	     29810 ns/op	  82.66 MB/s	         0 internal-fault-fallbacks	     67091 signatures/s	   1243136 table-bytes	        14.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	  120674	     29823 ns/op	  82.62 MB/s	         0 internal-fault-fallbacks	     67063 signatures/s	   1243136 table-bytes	        14.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	  120684	     29817 ns/op	  82.64 MB/s	         0 internal-fault-fallbacks	     67075 signatures/s	   1243136 table-bytes	        14.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	  120705	     29822 ns/op	  82.62 MB/s	         0 internal-fault-fallbacks	     67065 signatures/s	   1243136 table-bytes	        14.91 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	  120718	     29833 ns/op	  82.59 MB/s	         0 internal-fault-fallbacks	     67040 signatures/s	   1243136 table-bytes	        14.92 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	  217352	     16598 ns/op	 296.90 MB/s	         0 internal-fault-fallbacks	    240987 signatures/s	   1243136 table-bytes	         4.150 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	  217273	     16570 ns/op	 297.40 MB/s	         0 internal-fault-fallbacks	    241399 signatures/s	   1243136 table-bytes	         4.143 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	  217090	     16566 ns/op	 297.48 MB/s	         0 internal-fault-fallbacks	    241465 signatures/s	   1243136 table-bytes	         4.141 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	  217292	     16564 ns/op	 297.52 MB/s	         0 internal-fault-fallbacks	    241495 signatures/s	   1243136 table-bytes	         4.141 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	  216578	     16606 ns/op	 296.76 MB/s	         0 internal-fault-fallbacks	    240876 signatures/s	   1243136 table-bytes	         4.152 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	  216960	     16581 ns/op	 297.20 MB/s	         0 internal-fault-fallbacks	    241235 signatures/s	   1243136 table-bytes	         4.145 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	  217552	     16549 ns/op	 297.78 MB/s	         0 internal-fault-fallbacks	    241707 signatures/s	   1243136 table-bytes	         4.137 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	  217398	     16549 ns/op	 297.79 MB/s	         0 internal-fault-fallbacks	    241711 signatures/s	   1243136 table-bytes	         4.137 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	  217546	     16547 ns/op	 297.81 MB/s	         0 internal-fault-fallbacks	    241729 signatures/s	   1243136 table-bytes	         4.137 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	  217560	     16546 ns/op	 297.84 MB/s	         0 internal-fault-fallbacks	    241756 signatures/s	   1243136 table-bytes	         4.136 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	  115527	     31149 ns/op	 316.41 MB/s	         0 internal-fault-fallbacks	    256830 signatures/s	   1243136 table-bytes	         3.894 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	  115344	     31168 ns/op	 316.22 MB/s	         0 internal-fault-fallbacks	    256675 signatures/s	   1243136 table-bytes	         3.896 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	  115496	     31150 ns/op	 316.40 MB/s	         0 internal-fault-fallbacks	    256821 signatures/s	   1243136 table-bytes	         3.894 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	  115495	     31161 ns/op	 316.29 MB/s	         0 internal-fault-fallbacks	    256730 signatures/s	   1243136 table-bytes	         3.895 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	  115453	     31189 ns/op	 316.01 MB/s	         0 internal-fault-fallbacks	    256498 signatures/s	   1243136 table-bytes	         3.899 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	  115360	     31177 ns/op	 316.13 MB/s	         0 internal-fault-fallbacks	    256597 signatures/s	   1243136 table-bytes	         3.897 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	  115417	     31197 ns/op	 315.93 MB/s	         0 internal-fault-fallbacks	    256435 signatures/s	   1243136 table-bytes	         3.900 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	  115473	     31168 ns/op	 316.22 MB/s	         0 internal-fault-fallbacks	    256672 signatures/s	   1243136 table-bytes	         3.896 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	  115514	     31163 ns/op	 316.28 MB/s	         0 internal-fault-fallbacks	    256718 signatures/s	   1243136 table-bytes	         3.895 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	  115503	     31166 ns/op	 316.24 MB/s	         0 internal-fault-fallbacks	    256692 signatures/s	   1243136 table-bytes	         3.896 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
