goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   27736	     43271 ns/op	  36.98 MB/s	    184881 signatures/s	         5.409 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   27706	     43330 ns/op	  36.93 MB/s	    184631 signatures/s	         5.416 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   27703	     43308 ns/op	  36.94 MB/s	    184725 signatures/s	         5.413 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   27700	     43287 ns/op	  36.96 MB/s	    184814 signatures/s	         5.411 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   27750	     43286 ns/op	  36.96 MB/s	    184818 signatures/s	         5.411 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=8         	   27716	     43285 ns/op	  36.96 MB/s	    184822 signatures/s	         5.411 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    3679	    325969 ns/op	  39.27 MB/s	    196338 signatures/s	         5.093 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    3676	    326067 ns/op	  39.26 MB/s	    196279 signatures/s	         5.095 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    3680	    325774 ns/op	  39.29 MB/s	    196455 signatures/s	         5.090 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    3670	    326882 ns/op	  39.16 MB/s	    195789 signatures/s	         5.108 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    3687	    325711 ns/op	  39.30 MB/s	    196493 signatures/s	         5.089 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    3684	    325796 ns/op	  39.29 MB/s	    196442 signatures/s	         5.091 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    3663	    327914 ns/op	  39.03 MB/s	    195173 signatures/s	         5.124 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    3679	    325862 ns/op	  39.28 MB/s	    196402 signatures/s	         5.092 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    3658	    327977 ns/op	  39.03 MB/s	    195136 signatures/s	         5.125 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=200/n=64        	    3679	    326293 ns/op	  39.23 MB/s	    196143 signatures/s	         5.098 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	   53558	     22405 ns/op	  54.99 MB/s	     44633 signatures/s	        22.40 us/signature	       0 B/op	       0 allocs/op
