goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   74767	     16060 ns/op	  49.81 MB/s	    249061 signatures/s	   1243136 table-bytes	         4.015 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   74686	     16069 ns/op	  49.78 MB/s	    248921 signatures/s	   1243136 table-bytes	         4.017 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   74618	     16055 ns/op	  49.83 MB/s	    249145 signatures/s	   1243136 table-bytes	         4.014 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   74726	     16063 ns/op	  49.80 MB/s	    249014 signatures/s	   1243136 table-bytes	         4.016 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   41329	     29051 ns/op	  55.07 MB/s	    275373 signatures/s	   1243136 table-bytes	         3.631 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   41304	     29049 ns/op	  55.08 MB/s	    275392 signatures/s	   1243136 table-bytes	         3.631 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   41310	     29057 ns/op	  55.06 MB/s	    275320 signatures/s	   1243136 table-bytes	         3.632 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   41301	     29043 ns/op	  55.09 MB/s	    275455 signatures/s	   1243136 table-bytes	         3.630 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   41319	     29038 ns/op	  55.10 MB/s	    275504 signatures/s	   1243136 table-bytes	         3.630 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   41284	     29035 ns/op	  55.11 MB/s	    275530 signatures/s	   1243136 table-bytes	         3.629 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   41308	     29051 ns/op	  55.08 MB/s	    275377 signatures/s	   1243136 table-bytes	         3.631 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   41306	     29049 ns/op	  55.08 MB/s	    275396 signatures/s	   1243136 table-bytes	         3.631 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
