goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=1        	  159868	     15017 ns/op	  82.04 MB/s	         0 internal-fault-fallbacks	     66591 signatures/s	        15.02 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   80160	     29938 ns/op	  82.30 MB/s	         0 internal-fault-fallbacks	     66805 signatures/s	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   80138	     29928 ns/op	  82.33 MB/s	         0 internal-fault-fallbacks	     66827 signatures/s	        14.96 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   80151	     29934 ns/op	  82.31 MB/s	         0 internal-fault-fallbacks	     66813 signatures/s	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   80160	     29934 ns/op	  82.31 MB/s	         0 internal-fault-fallbacks	     66813 signatures/s	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   80181	     29932 ns/op	  82.32 MB/s	         0 internal-fault-fallbacks	     66818 signatures/s	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   80160	     29932 ns/op	  82.32 MB/s	         0 internal-fault-fallbacks	     66818 signatures/s	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   80174	     29934 ns/op	  82.31 MB/s	         0 internal-fault-fallbacks	     66813 signatures/s	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   80196	     29936 ns/op	  82.31 MB/s	         0 internal-fault-fallbacks	     66808 signatures/s	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   80133	     29937 ns/op	  82.31 MB/s	         0 internal-fault-fallbacks	     66806 signatures/s	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=2        	   80156	     29937 ns/op	  82.31 MB/s	         0 internal-fault-fallbacks	     66807 signatures/s	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	  141418	     16967 ns/op	 241.41 MB/s	         0 internal-fault-fallbacks	     58939 signatures/s	        16.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	  141470	     16965 ns/op	 241.44 MB/s	         0 internal-fault-fallbacks	     58945 signatures/s	        16.96 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	  141458	     16970 ns/op	 241.36 MB/s	         0 internal-fault-fallbacks	     58927 signatures/s	        16.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	  141421	     16967 ns/op	 241.40 MB/s	         0 internal-fault-fallbacks	     58936 signatures/s	        16.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	  141378	     16969 ns/op	 241.39 MB/s	         0 internal-fault-fallbacks	     58932 signatures/s	        16.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	  141442	     16964 ns/op	 241.46 MB/s	         0 internal-fault-fallbacks	     58949 signatures/s	        16.96 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	  141452	     16968 ns/op	 241.40 MB/s	         0 internal-fault-fallbacks	     58935 signatures/s	        16.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	  141465	     16965 ns/op	 241.44 MB/s	         0 internal-fault-fallbacks	     58945 signatures/s	        16.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	  141438	     16969 ns/op	 241.38 MB/s	         0 internal-fault-fallbacks	     58931 signatures/s	        16.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	  141456	     16968 ns/op	 241.40 MB/s	         0 internal-fault-fallbacks	     58936 signatures/s	        16.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   70540	     34014 ns/op	 240.84 MB/s	         0 internal-fault-fallbacks	     58800 signatures/s	        17.01 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   70539	     34011 ns/op	 240.86 MB/s	         0 internal-fault-fallbacks	     58804 signatures/s	        17.01 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   70510	     34017 ns/op	 240.82 MB/s	         0 internal-fault-fallbacks	     58793 signatures/s	        17.01 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   70497	     34029 ns/op	 240.73 MB/s	         0 internal-fault-fallbacks	     58773 signatures/s	        17.01 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   70510	     34020 ns/op	 240.80 MB/s	         0 internal-fault-fallbacks	     58789 signatures/s	        17.01 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   70538	     34008 ns/op	 240.89 MB/s	         0 internal-fault-fallbacks	     58811 signatures/s	        17.00 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   70542	     34024 ns/op	 240.77 MB/s	         0 internal-fault-fallbacks	     58782 signatures/s	        17.01 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   70519	     34031 ns/op	 240.72 MB/s	         0 internal-fault-fallbacks	     58770 signatures/s	        17.02 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   70526	     34037 ns/op	 240.68 MB/s	         0 internal-fault-fallbacks	     58760 signatures/s	        17.02 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   70527	     34034 ns/op	 240.70 MB/s	         0 internal-fault-fallbacks	     58765 signatures/s	        17.02 us/signature	       0 B/op	       0 allocs/op
PASS
