goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=200         	   79502	     30194 ns/op	         7.549 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=200         	   79518	     30185 ns/op	         7.546 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=200         	   79472	     30209 ns/op	         7.552 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=1232                  	   70598	     33976 ns/op	        16.99 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=1232                  	   70659	     33955 ns/op	        16.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=1232                  	   70678	     33943 ns/op	        16.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=1232                  	   70672	     33953 ns/op	        16.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=1232                  	   70670	     33955 ns/op	        16.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=1232                  	   70682	     33954 ns/op	        16.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=1232                  	   70693	     33948 ns/op	        16.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=1232                  	   70707	     33961 ns/op	        16.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=1232                  	   70632	     33952 ns/op	        16.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=1232                  	   70693	     33967 ns/op	        16.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=1232        	   70657	     33944 ns/op	        16.97 us/signature	       0 B/op	       0 allocs/op
