goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	    5088	    235664 ns/op	 334.58 MB/s	         0 internal-fault-fallbacks	    271573 signatures/s	         3.682 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   73173	     16367 ns/op	 250.25 MB/s	         0 internal-fault-fallbacks	     61097 signatures/s	        16.37 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   73264	     16386 ns/op	 249.97 MB/s	         0 internal-fault-fallbacks	     61029 signatures/s	        16.39 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   73237	     16381 ns/op	 250.05 MB/s	         0 internal-fault-fallbacks	     61048 signatures/s	        16.38 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   36687	     32716 ns/op	 250.39 MB/s	         0 internal-fault-fallbacks	     61132 signatures/s	        16.36 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   36693	     32711 ns/op	 250.44 MB/s	         0 internal-fault-fallbacks	     61142 signatures/s	        16.36 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   36716	     32683 ns/op	 250.65 MB/s	         0 internal-fault-fallbacks	     61194 signatures/s	        16.34 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   31965	     37557 ns/op	 436.24 MB/s	         0 internal-fault-fallbacks	    106504 signatures/s	         9.389 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   31952	     37574 ns/op	 436.04 MB/s	         0 internal-fault-fallbacks	    106455 signatures/s	         9.394 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   31921	     37585 ns/op	 435.92 MB/s	         0 internal-fault-fallbacks	    106427 signatures/s	         9.396 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   32197	     37297 ns/op	 878.58 MB/s	         0 internal-fault-fallbacks	    214496 signatures/s	         4.662 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   32334	     37091 ns/op	 883.45 MB/s	         0 internal-fault-fallbacks	    215685 signatures/s	         4.636 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   32343	     37103 ns/op	 883.16 MB/s	         0 internal-fault-fallbacks	    215615 signatures/s	         4.638 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    4252	    282182 ns/op	 928.99 MB/s	         0 internal-fault-fallbacks	    226804 signatures/s	         4.409 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    4246	    282213 ns/op	 928.89 MB/s	         0 internal-fault-fallbacks	    226779 signatures/s	         4.410 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    4249	    282271 ns/op	 928.70 MB/s	         0 internal-fault-fallbacks	    226733 signatures/s	         4.410 us/signature	       0 B/op	       0 allocs/op
PASS
exit_status=0
