goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=8/msg=200         	    8200	    292760 ns/op	     27326 sig/s	        36.60 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=8/msg=200         	    8200	    292755 ns/op	     27327 sig/s	        36.59 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=8/msg=200         	    8176	    292716 ns/op	     27330 sig/s	        36.59 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=8/msg=200         	    8198	    292718 ns/op	     27330 sig/s	        36.59 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=9/msg=200         	    7264	    330298 ns/op	     27248 sig/s	        36.70 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=9/msg=200         	    7264	    330034 ns/op	     27270 sig/s	        36.67 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=9/msg=200         	    7270	    330060 ns/op	     27268 sig/s	        36.67 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=9/msg=200         	    7268	    330025 ns/op	     27271 sig/s	        36.67 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=9/msg=200         	    7273	    329964 ns/op	     27276 sig/s	        36.66 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=9/msg=200         	    7275	    330019 ns/op	     27271 sig/s	        36.67 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=12/msg=200        	    5446	    440300 ns/op	     27254 sig/s	        36.69 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=12/msg=200        	    5452	    440211 ns/op	     27260 sig/s	        36.68 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=12/msg=200        	    5452	    440256 ns/op	     27257 sig/s	        36.69 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=12/msg=200        	    5452	    440234 ns/op	     27258 sig/s	        36.69 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=12/msg=200        	    5449	    440282 ns/op	     27255 sig/s	        36.69 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=12/msg=200        	    5449	    440331 ns/op	     27252 sig/s	        36.69 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=16/msg=200        	    4081	    587251 ns/op	     27246 sig/s	        36.70 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=16/msg=200        	    4086	    587101 ns/op	     27253 sig/s	        36.69 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=16/msg=200        	    4087	    587090 ns/op	     27253 sig/s	        36.69 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=16/msg=200        	    4084	    587133 ns/op	     27251 sig/s	        36.70 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=16/msg=200        	    4087	    587000 ns/op	     27257 sig/s	        36.69 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=16/msg=200        	    4087	    587067 ns/op	     27254 sig/s	        36.69 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=17/msg=200        	    3838	    624380 ns/op	     27227 sig/s	        36.73 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=17/msg=200        	    3842	    624419 ns/op	     27225 sig/s	        36.73 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=17/msg=200        	    3843	    624344 ns/op	     27229 sig/s	        36.73 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=17/msg=200        	    3844	    624381 ns/op	     27227 sig/s	        36.73 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=17/msg=200        	    3843	    624350 ns/op	     27228 sig/s	        36.73 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=17/msg=200        	    3842	    624321 ns/op	     27230 sig/s	        36.72 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=32/msg=200        	    2040	   1175370 ns/op	     27225 sig/s	        36.73 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=32/msg=200        	    2041	   1175155 ns/op	     27230 sig/s	        36.72 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=32/msg=200        	    2041	   1175070 ns/op	     27232 sig/s	        36.72 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=32/msg=200        	    2042	   1175119 ns/op	     27231 sig/s	        36.72 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=32/msg=200        	    2042	   1175040 ns/op	     27233 sig/s	        36.72 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=32/msg=200        	    2040	   1175117 ns/op	     27231 sig/s	        36.72 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=200        	    1021	   2347968 ns/op	     27258 sig/s	        36.69 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=200        	    1021	   2347713 ns/op	     27261 sig/s	        36.68 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=200        	    1021	   2347681 ns/op	     27261 sig/s	        36.68 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=200        	    1021	   2347733 ns/op	     27260 sig/s	        36.68 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=200        	    1021	   2347733 ns/op	     27260 sig/s	        36.68 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=200        	    1021	   2347802 ns/op	     27260 sig/s	        36.68 µs/sig	       0 B/op	       0 allocs/op
PASS
ok  	github.com/Overclock-Validator/narya/ed25519	209.781s
