goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=private-core         	   29571	    121718 ns/op	        15.21 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=private-core         	   29568	    121732 ns/op	        15.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=private-core         	   29586	    121746 ns/op	        15.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=private-core         	   29577	    121710 ns/op	        15.21 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=private-core         	   29580	    121708 ns/op	        15.21 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=private-core         	   29581	    121708 ns/op	        15.21 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=private-core         	   29565	    121713 ns/op	        15.21 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=private-core         	   29576	    121721 ns/op	        15.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=private-core         	   29574	    121730 ns/op	        15.22 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=public-wrapper       	   29534	    121894 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=public-wrapper       	   29530	    121892 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=public-wrapper       	   29534	    121890 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=public-wrapper       	   29529	    121903 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=public-wrapper       	   29529	    121912 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=public-wrapper       	   29528	    121910 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=public-wrapper       	   29527	    121967 ns/op	        15.25 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=public-wrapper       	   29527	    121897 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=public-wrapper       	   29532	    121902 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=8/path=public-wrapper       	   29527	    121911 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=private-core        	    3783	    951088 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=private-core        	    3782	    951075 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=private-core        	    3781	    951108 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=private-core        	    3784	    951018 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=private-core        	    3786	    951653 ns/op	        14.87 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=private-core        	    3782	    951161 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=private-core        	    3783	    951156 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=private-core        	    3783	    951095 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=private-core        	    3784	    950950 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=private-core        	    3783	    950984 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=public-wrapper      	    3783	    950994 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=public-wrapper      	    3783	    951497 ns/op	        14.87 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=public-wrapper      	    3782	    951297 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=public-wrapper      	    3782	    951245 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=public-wrapper      	    3782	    951152 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=public-wrapper      	    3783	    951110 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=public-wrapper      	    3783	    951099 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=public-wrapper      	    3782	    951096 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=public-wrapper      	    3784	    951129 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=64/n=64/path=public-wrapper      	    3783	    951068 ns/op	        14.86 us/signature	       0 B/op	       0 allocs/op
