goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=8/msg=200         	   14010	    171295 ns/op	     46703 sig/s	        21.41 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=8/msg=200         	   14012	    171262 ns/op	     46712 sig/s	        21.41 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=8/msg=200         	   14014	    171218 ns/op	     46724 sig/s	        21.40 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=8/msg=200         	   14014	    171207 ns/op	     46727 sig/s	        21.40 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=8/msg=200         	   14014	    171210 ns/op	     46726 sig/s	        21.40 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=9/msg=200         	   12490	    192116 ns/op	     46847 sig/s	        21.35 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=9/msg=200         	   12477	    192141 ns/op	     46841 sig/s	        21.35 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=9/msg=200         	   12490	    192135 ns/op	     46842 sig/s	        21.35 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=9/msg=200         	   12489	    192169 ns/op	     46834 sig/s	        21.35 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=9/msg=200         	   12489	    192150 ns/op	     46838 sig/s	        21.35 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=9/msg=200         	   12488	    192149 ns/op	     46839 sig/s	        21.35 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=12/msg=200        	    9342	    256553 ns/op	     46774 sig/s	        21.38 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=12/msg=200        	    9358	    256496 ns/op	     46784 sig/s	        21.37 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=12/msg=200        	    9343	    256534 ns/op	     46777 sig/s	        21.38 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=12/msg=200        	    9351	    256497 ns/op	     46784 sig/s	        21.37 µs/sig	       0 B/op	       0 allocs/op
