goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=8/msg=200         	   19627	    122342 ns/op	     65391 sig/s	        15.29 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=8/msg=200         	   19624	    122293 ns/op	     65417 sig/s	        15.29 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=8/msg=200         	   19623	    122261 ns/op	     65434 sig/s	        15.28 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=8/msg=200         	   19624	    122295 ns/op	     65416 sig/s	        15.29 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=9/msg=200         	   15988	    150110 ns/op	     59956 sig/s	        16.68 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=9/msg=200         	   15988	    150082 ns/op	     59967 sig/s	        16.68 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=9/msg=200         	   15961	    150157 ns/op	     59937 sig/s	        16.68 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=9/msg=200         	   15985	    150142 ns/op	     59943 sig/s	        16.68 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=9/msg=200         	   15985	    150114 ns/op	     59954 sig/s	        16.68 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=9/msg=200         	   15988	    150097 ns/op	     59961 sig/s	        16.68 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=12/msg=200        	   13184	    182167 ns/op	     65874 sig/s	        15.18 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=12/msg=200        	   13174	    182174 ns/op	     65871 sig/s	        15.18 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=12/msg=200        	   13170	    182188 ns/op	     65866 sig/s	        15.18 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=12/msg=200        	   13171	    182182 ns/op	     65868 sig/s	        15.18 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=12/msg=200        	   13170	    182196 ns/op	     65863 sig/s	        15.18 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=12/msg=200        	   13171	    182160 ns/op	     65876 sig/s	        15.18 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=16/msg=200        	    9943	    241835 ns/op	     66161 sig/s	        15.11 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=16/msg=200        	    9910	    242161 ns/op	     66072 sig/s	        15.14 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=16/msg=200        	    9902	    242297 ns/op	     66035 sig/s	        15.14 µs/sig	       0 B/op	       0 allocs/op
