goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=8/msg=200         	   10000	    203459 ns/op	     39320 sig/s	        25.43 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=8/msg=200         	   10000	    203464 ns/op	     39319 sig/s	        25.43 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=8/msg=200         	   10000	    203488 ns/op	     39314 sig/s	        25.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=8/msg=200         	   10000	    203481 ns/op	     39316 sig/s	        25.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=8/msg=200         	   10000	    203507 ns/op	     39311 sig/s	        25.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=9/msg=200         	   10000	    229107 ns/op	     39283 sig/s	        25.46 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=9/msg=200         	   10000	    229102 ns/op	     39284 sig/s	        25.46 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=9/msg=200         	   10000	    229171 ns/op	     39272 sig/s	        25.46 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=9/msg=200         	   10000	    229167 ns/op	     39273 sig/s	        25.46 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=9/msg=200         	   10000	    229121 ns/op	     39281 sig/s	        25.46 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=9/msg=200         	   10000	    229292 ns/op	     39251 sig/s	        25.48 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=12/msg=200        	    7851	    305299 ns/op	     39306 sig/s	        25.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=12/msg=200        	    7861	    305275 ns/op	     39309 sig/s	        25.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=12/msg=200        	    7855	    305259 ns/op	     39311 sig/s	        25.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=12/msg=200        	    7862	    305313 ns/op	     39304 sig/s	        25.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=12/msg=200        	    7804	    305358 ns/op	     39298 sig/s	        25.45 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=12/msg=200        	    7869	    305254 ns/op	     39312 sig/s	        25.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=16/msg=200        	    5883	    407512 ns/op	     39263 sig/s	        25.47 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=16/msg=200        	    5895	    407613 ns/op	     39253 sig/s	        25.48 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=16/msg=200        	    5890	    407492 ns/op	     39265 sig/s	        25.47 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=16/msg=200        	    5887	    407518 ns/op	     39262 sig/s	        25.47 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=16/msg=200        	    5889	    407488 ns/op	     39265 sig/s	        25.47 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=16/msg=200        	    5884	    407533 ns/op	     39261 sig/s	        25.47 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=17/msg=200        	    5547	    432044 ns/op	     39348 sig/s	        25.41 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=17/msg=200        	    5556	    432054 ns/op	     39347 sig/s	        25.41 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=17/msg=200        	    5557	    432012 ns/op	     39351 sig/s	        25.41 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=17/msg=200        	    5554	    432055 ns/op	     39347 sig/s	        25.41 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=17/msg=200        	    5542	    432216 ns/op	     39332 sig/s	        25.42 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=17/msg=200        	    5552	    432010 ns/op	     39351 sig/s	        25.41 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=32/msg=200        	    2944	    814328 ns/op	     39296 sig/s	        25.45 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=32/msg=200        	    2943	    814234 ns/op	     39301 sig/s	        25.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=32/msg=200        	    2943	    814232 ns/op	     39301 sig/s	        25.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=32/msg=200        	    2947	    814195 ns/op	     39303 sig/s	        25.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=32/msg=200        	    2947	    814194 ns/op	     39303 sig/s	        25.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=32/msg=200        	    2946	    814846 ns/op	     39271 sig/s	        25.46 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=200        	    1467	   1631654 ns/op	     39224 sig/s	        25.49 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=200        	    1470	   1631356 ns/op	     39231 sig/s	        25.49 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=200        	    1470	   1631574 ns/op	     39226 sig/s	        25.49 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=200        	    1470	   1631554 ns/op	     39226 sig/s	        25.49 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=200        	    1468	   1631460 ns/op	     39229 sig/s	        25.49 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=200        	    1470	   1631586 ns/op	     39226 sig/s	        25.49 µs/sig	       0 B/op	       0 allocs/op
PASS
ok  	github.com/Overclock-Validator/narya/ed25519	195.570s
