goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=2/msg=1232             	   22107	     54251 ns/op	     36866 sig/s	        27.13 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=2/msg=1232             	   22110	     54282 ns/op	     36845 sig/s	        27.14 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=2/msg=1232             	   22099	     54308 ns/op	     36827 sig/s	        27.15 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=2/msg=1232             	   22100	     54286 ns/op	     36842 sig/s	        27.14 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=2/msg=1232             	   22107	     54295 ns/op	     36836 sig/s	        27.15 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=1232     	   27823	     43113 ns/op	     46390 sig/s	        21.56 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=1232     	   27835	     43116 ns/op	     46387 sig/s	        21.56 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=1232     	   27825	     43124 ns/op	     46378 sig/s	        21.56 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=1232     	   27829	     43119 ns/op	     46383 sig/s	        21.56 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=1232     	   27829	     43127 ns/op	     46375 sig/s	        21.56 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=2/msg=1232     	   27824	     43115 ns/op	     46387 sig/s	        21.56 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=2/msg=1232 	   32018	     37470 ns/op	     53376 sig/s	        18.73 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=2/msg=1232 	   32014	     37477 ns/op	     53366 sig/s	        18.74 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=2/msg=1232 	   32016	     37483 ns/op	     53358 sig/s	        18.74 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=2/msg=1232 	   32004	     37476 ns/op	     53367 sig/s	        18.74 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=2/msg=1232 	   32018	     37470 ns/op	     53376 sig/s	        18.73 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=2/msg=1232 	   32010	     37480 ns/op	     53362 sig/s	        18.74 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=4/msg=1232         	   31910	     37636 ns/op	    106282 sig/s	         9.409 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=4/msg=1232         	   31875	     37654 ns/op	    106230 sig/s	         9.414 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=4/msg=1232         	   31873	     37653 ns/op	    106233 sig/s	         9.413 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=4/msg=1232         	   31868	     37658 ns/op	    106219 sig/s	         9.415 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=4/msg=1232         	   31860	     37657 ns/op	    106221 sig/s	         9.414 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=narya-r51-dispatch/n=4/msg=1232         	   31867	     37652 ns/op	    106237 sig/s	         9.413 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=4/msg=1232             	   10000	    109237 ns/op	     36618 sig/s	        27.31 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=4/msg=1232             	   10000	    109217 ns/op	     36624 sig/s	        27.30 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=4/msg=1232             	   10000	    109252 ns/op	     36613 sig/s	        27.31 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=4/msg=1232             	   10000	    109261 ns/op	     36610 sig/s	        27.32 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=4/msg=1232             	   10000	    109222 ns/op	     36623 sig/s	        27.31 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=4/msg=1232             	   10000	    109210 ns/op	     36627 sig/s	        27.30 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=4/msg=1232     	   13786	     87018 ns/op	     45967 sig/s	        21.75 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=4/msg=1232     	   13789	     87021 ns/op	     45966 sig/s	        21.76 µs/sig	       0 B/op	       0 allocs/op
