goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   87804	     13652 ns/op	  58.60 MB/s	         0 internal-fault-fallbacks	    292990 signatures/s	   1243136 table-bytes	         3.413 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   87794	     13670 ns/op	  58.52 MB/s	         0 internal-fault-fallbacks	    292607 signatures/s	   1243136 table-bytes	         3.418 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   87742	     13673 ns/op	  58.51 MB/s	         0 internal-fault-fallbacks	    292551 signatures/s	   1243136 table-bytes	         3.418 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   87754	     13672 ns/op	  58.51 MB/s	         0 internal-fault-fallbacks	    292565 signatures/s	   1243136 table-bytes	         3.418 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   87688	     13677 ns/op	  58.49 MB/s	         0 internal-fault-fallbacks	    292452 signatures/s	   1243136 table-bytes	         3.419 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   87756	     13669 ns/op	  58.53 MB/s	         0 internal-fault-fallbacks	    292635 signatures/s	   1243136 table-bytes	         3.417 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=4         	   87760	     13671 ns/op	  58.52 MB/s	         0 internal-fault-fallbacks	    292582 signatures/s	   1243136 table-bytes	         3.418 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   47192	     25401 ns/op	  62.99 MB/s	         0 internal-fault-fallbacks	    314953 signatures/s	   1243136 table-bytes	         3.175 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   47166	     25447 ns/op	  62.88 MB/s	         0 internal-fault-fallbacks	    314381 signatures/s	   1243136 table-bytes	         3.181 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   47150	     25450 ns/op	  62.87 MB/s	         0 internal-fault-fallbacks	    314345 signatures/s	   1243136 table-bytes	         3.181 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   47116	     25451 ns/op	  62.87 MB/s	         0 internal-fault-fallbacks	    314332 signatures/s	   1243136 table-bytes	         3.181 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   47143	     25453 ns/op	  62.86 MB/s	         0 internal-fault-fallbacks	    314309 signatures/s	   1243136 table-bytes	         3.182 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   47097	     25463 ns/op	  62.84 MB/s	         0 internal-fault-fallbacks	    314179 signatures/s	   1243136 table-bytes	         3.183 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   47126	     25462 ns/op	  62.84 MB/s	         0 internal-fault-fallbacks	    314197 signatures/s	   1243136 table-bytes	         3.183 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   47116	     25457 ns/op	  62.85 MB/s	         0 internal-fault-fallbacks	    314255 signatures/s	   1243136 table-bytes	         3.182 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   47119	     25461 ns/op	  62.84 MB/s	         0 internal-fault-fallbacks	    314203 signatures/s	   1243136 table-bytes	         3.183 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=8         	   47202	     25413 ns/op	  62.96 MB/s	         0 internal-fault-fallbacks	    314800 signatures/s	   1243136 table-bytes	         3.177 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    6211	    192868 ns/op	  66.37 MB/s	         0 internal-fault-fallbacks	    331833 signatures/s	   1243136 table-bytes	         3.014 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    6218	    192818 ns/op	  66.38 MB/s	         0 internal-fault-fallbacks	    331920 signatures/s	   1243136 table-bytes	         3.013 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    6206	    193253 ns/op	  66.23 MB/s	         0 internal-fault-fallbacks	    331172 signatures/s	   1243136 table-bytes	         3.020 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    6204	    193213 ns/op	  66.25 MB/s	         0 internal-fault-fallbacks	    331241 signatures/s	   1243136 table-bytes	         3.019 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    6206	    193264 ns/op	  66.23 MB/s	         0 internal-fault-fallbacks	    331154 signatures/s	   1243136 table-bytes	         3.020 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    6206	    193232 ns/op	  66.24 MB/s	         0 internal-fault-fallbacks	    331208 signatures/s	   1243136 table-bytes	         3.019 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    6201	    193317 ns/op	  66.21 MB/s	         0 internal-fault-fallbacks	    331062 signatures/s	   1243136 table-bytes	         3.021 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    6202	    193280 ns/op	  66.23 MB/s	         0 internal-fault-fallbacks	    331126 signatures/s	   1243136 table-bytes	         3.020 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    6214	    193193 ns/op	  66.25 MB/s	         0 internal-fault-fallbacks	    331275 signatures/s	   1243136 table-bytes	         3.019 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=200/n=64        	    6205	    193303 ns/op	  66.22 MB/s	         0 internal-fault-fallbacks	    331087 signatures/s	   1243136 table-bytes	         3.020 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   80043	     14989 ns/op	  82.19 MB/s	         0 internal-fault-fallbacks	     66713 signatures/s	   1243136 table-bytes	        14.99 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   80042	     14984 ns/op	  82.22 MB/s	         0 internal-fault-fallbacks	     66738 signatures/s	   1243136 table-bytes	        14.98 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   80096	     14982 ns/op	  82.23 MB/s	         0 internal-fault-fallbacks	     66747 signatures/s	   1243136 table-bytes	        14.98 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   80110	     14979 ns/op	  82.25 MB/s	         0 internal-fault-fallbacks	     66759 signatures/s	   1243136 table-bytes	        14.98 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   80092	     14980 ns/op	  82.25 MB/s	         0 internal-fault-fallbacks	     66757 signatures/s	   1243136 table-bytes	        14.98 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   80109	     14979 ns/op	  82.25 MB/s	         0 internal-fault-fallbacks	     66762 signatures/s	   1243136 table-bytes	        14.98 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   80124	     14981 ns/op	  82.24 MB/s	         0 internal-fault-fallbacks	     66753 signatures/s	   1243136 table-bytes	        14.98 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   80084	     14989 ns/op	  82.20 MB/s	         0 internal-fault-fallbacks	     66718 signatures/s	   1243136 table-bytes	        14.99 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   80060	     14988 ns/op	  82.20 MB/s	         0 internal-fault-fallbacks	     66721 signatures/s	   1243136 table-bytes	        14.99 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   80064	     14989 ns/op	  82.20 MB/s	         0 internal-fault-fallbacks	     66718 signatures/s	   1243136 table-bytes	        14.99 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   40240	     29796 ns/op	  82.69 MB/s	         0 internal-fault-fallbacks	     67122 signatures/s	   1243136 table-bytes	        14.90 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   40231	     29794 ns/op	  82.70 MB/s	         0 internal-fault-fallbacks	     67129 signatures/s	   1243136 table-bytes	        14.90 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   40255	     29794 ns/op	  82.70 MB/s	         0 internal-fault-fallbacks	     67127 signatures/s	   1243136 table-bytes	        14.90 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   40267	     29793 ns/op	  82.70 MB/s	         0 internal-fault-fallbacks	     67130 signatures/s	   1243136 table-bytes	        14.90 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   40281	     29801 ns/op	  82.68 MB/s	         0 internal-fault-fallbacks	     67113 signatures/s	   1243136 table-bytes	        14.90 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   40292	     29801 ns/op	  82.68 MB/s	         0 internal-fault-fallbacks	     67111 signatures/s	   1243136 table-bytes	        14.90 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   40258	     29809 ns/op	  82.66 MB/s	         0 internal-fault-fallbacks	     67095 signatures/s	   1243136 table-bytes	        14.90 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   40260	     29808 ns/op	  82.66 MB/s	         0 internal-fault-fallbacks	     67096 signatures/s	   1243136 table-bytes	        14.90 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   40261	     29795 ns/op	  82.70 MB/s	         0 internal-fault-fallbacks	     67126 signatures/s	   1243136 table-bytes	        14.90 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   40260	     29795 ns/op	  82.70 MB/s	         0 internal-fault-fallbacks	     67125 signatures/s	   1243136 table-bytes	        14.90 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   71818	     16706 ns/op	 294.98 MB/s	         0 internal-fault-fallbacks	    239431 signatures/s	   1243136 table-bytes	         4.177 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   71715	     16708 ns/op	 294.94 MB/s	         0 internal-fault-fallbacks	    239401 signatures/s	   1243136 table-bytes	         4.177 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   71835	     16709 ns/op	 294.92 MB/s	         0 internal-fault-fallbacks	    239386 signatures/s	   1243136 table-bytes	         4.177 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   71745	     16712 ns/op	 294.87 MB/s	         0 internal-fault-fallbacks	    239346 signatures/s	   1243136 table-bytes	         4.178 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   71792	     16715 ns/op	 294.83 MB/s	         0 internal-fault-fallbacks	    239310 signatures/s	   1243136 table-bytes	         4.179 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   71794	     16717 ns/op	 294.79 MB/s	         0 internal-fault-fallbacks	    239275 signatures/s	   1243136 table-bytes	         4.179 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   71737	     16723 ns/op	 294.69 MB/s	         0 internal-fault-fallbacks	    239197 signatures/s	   1243136 table-bytes	         4.181 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
