goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/internal/heea8l
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkSelectShiftSubtract/long-schedule-W132    	  597068	      6028 ns/op	       130.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/long-schedule-W132    	  596826	      6030 ns/op	       130.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/long-schedule-W132    	  597387	      6026 ns/op	       130.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/long-schedule-W132    	  596974	      6027 ns/op	       130.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/long-schedule-W136    	  609415	      5902 ns/op	       136.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/long-schedule-W136    	  610214	      5900 ns/op	       136.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/long-schedule-W136    	  609454	      5900 ns/op	       136.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/long-schedule-W136    	  609573	      5903 ns/op	       136.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/long-schedule-W136    	  609554	      5903 ns/op	       136.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/long-schedule-W136    	  609608	      5901 ns/op	       136.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/long-schedule-W136    	  609912	      5904 ns/op	       136.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/long-schedule-W136    	  609476	      5903 ns/op	       136.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/long-schedule-W136    	  609652	      5903 ns/op	       136.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/long-schedule-W136    	  610500	      5901 ns/op	       136.0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W128         	  435676	      8261 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W128         	  435847	      8265 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W128         	  435711	      8265 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W128         	  435688	      8262 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W128         	  435900	      8270 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W128         	  435213	      8264 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W128         	  435212	      8262 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W128         	  436042	      8265 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W128         	  435080	      8262 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W128         	  436225	      8259 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W132         	  435602	      8254 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W132         	  436172	      8247 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W132         	  436582	      8250 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W132         	  436462	      8256 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W132         	  435955	      8252 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W132         	  436058	      8256 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W132         	  436192	      8261 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W132         	  435300	      8258 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W132         	  435984	      8260 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W132         	  436405	      8258 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W136         	  435531	      8269 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
BenchmarkSelectShiftSubtract/pathological-fallback-W136         	  434866	      8270 ns/op	         0 candidate_bits	       0 B/op	       0 allocs/op
