goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51VerifyBatchStrict/msg=1232/n=64       	    5049	    237567 ns/op	 331.90 MB/s	         0 internal-fault-fallbacks	    269398 signatures/s	         3.712 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   75178	     15948 ns/op	 256.84 MB/s	         0 internal-fault-fallbacks	     62705 signatures/s	        15.95 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   75310	     15936 ns/op	 257.03 MB/s	         0 internal-fault-fallbacks	     62750 signatures/s	        15.94 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=1        	   75172	     15956 ns/op	 256.71 MB/s	         0 internal-fault-fallbacks	     62672 signatures/s	        15.96 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   37873	     31652 ns/op	 258.81 MB/s	         0 internal-fault-fallbacks	     63187 signatures/s	        15.83 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   37994	     31573 ns/op	 259.46 MB/s	         0 internal-fault-fallbacks	     63345 signatures/s	        15.79 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=2        	   38013	     31564 ns/op	 259.53 MB/s	         0 internal-fault-fallbacks	     63363 signatures/s	        15.78 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   32028	     37463 ns/op	 437.34 MB/s	         0 internal-fault-fallbacks	    106772 signatures/s	         9.366 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   32029	     37462 ns/op	 437.35 MB/s	         0 internal-fault-fallbacks	    106776 signatures/s	         9.365 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=4        	   32035	     37463 ns/op	 437.34 MB/s	         0 internal-fault-fallbacks	    106772 signatures/s	         9.366 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   32450	     37007 ns/op	 885.46 MB/s	         0 internal-fault-fallbacks	    216176 signatures/s	         4.626 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   32269	     37188 ns/op	 881.14 MB/s	         0 internal-fault-fallbacks	    215122 signatures/s	         4.649 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=8        	   32265	     37166 ns/op	 881.66 MB/s	         0 internal-fault-fallbacks	    215249 signatures/s	         4.646 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    4249	    282327 ns/op	 928.51 MB/s	         0 internal-fault-fallbacks	    226687 signatures/s	         4.411 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    4250	    282191 ns/op	 928.96 MB/s	         0 internal-fault-fallbacks	    226797 signatures/s	         4.409 us/signature	       0 B/op	       0 allocs/op
BenchmarkPublicR51VerifyBatchStrict/msg=4096/n=64       	    4249	    282293 ns/op	 928.62 MB/s	         0 internal-fault-fallbacks	    226715 signatures/s	         4.411 us/signature	       0 B/op	       0 allocs/op
PASS
ok  	github.com/Overclock-Validator/narya-ed25519/ed25519	64.158s
