goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/internal/r51x5
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkWarmCombX8ShapeSweepExperiment/A6r3-B10r2/depth=12/keyKiB=56         	  122480	      9875 ns/op	     57600 B/key	      1234 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r3-B10r2/depth=12/keyKiB=56         	  122424	      9873 ns/op	     57600 B/key	      1234 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r3-B10r2/depth=12/keyKiB=56         	  122350	      9874 ns/op	     57600 B/key	      1234 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r2-B10r2/depth=10/keyKiB=82         	  124239	      9716 ns/op	     84480 B/key	      1214 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r2-B10r2/depth=10/keyKiB=82         	  124064	      9739 ns/op	     84480 B/key	      1217 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r2-B10r2/depth=10/keyKiB=82         	  124033	      9741 ns/op	     84480 B/key	      1218 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r2-B10r2/depth=10/keyKiB=82         	  123814	      9785 ns/op	     84480 B/key	      1223 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r2-B10r2/depth=10/keyKiB=82         	  124020	      9732 ns/op	     84480 B/key	      1217 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r2-B10r1/depth=6/keyKiB=82          	  128576	      9417 ns/op	     84480 B/key	      1177 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r2-B10r1/depth=6/keyKiB=82          	  128346	      9431 ns/op	     84480 B/key	      1179 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r2-B10r1/depth=6/keyKiB=82          	  128218	      9429 ns/op	     84480 B/key	      1179 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r2-B10r1/depth=6/keyKiB=82          	  128266	      9432 ns/op	     84480 B/key	      1179 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r2-B10r1/depth=6/keyKiB=82          	  127914	      9448 ns/op	     84480 B/key	      1181 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r1-B10r1/depth=0/keyKiB=161         	  133567	      9045 ns/op	    165120 B/key	      1131 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r1-B10r1/depth=0/keyKiB=161         	  133432	      9058 ns/op	    165120 B/key	      1132 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r1-B10r1/depth=0/keyKiB=161         	  133358	      9067 ns/op	    165120 B/key	      1133 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r1-B10r1/depth=0/keyKiB=161         	  133413	      9069 ns/op	    165120 B/key	      1134 ns/signature	       0 B/op	       0 allocs/op
BenchmarkWarmCombX8ShapeSweepExperiment/A6r1-B10r1/depth=0/keyKiB=161         	  133434	      9069 ns/op	    165120 B/key	      1134 ns/signature	       0 B/op	       0 allocs/op
PASS
ok  	github.com/Overclock-Validator/narya-ed25519/internal/r51x5	95.482s
